"iGMS property ID","Property name","Property address","Listing platform","Listing ID","Listing name","Is listed?","Listing Host name","Listing Host email","Hotel ID","Hotel name",Notes
2939276558917716226,"Pool + Free Shuttle to Beach","Calle Danubio, Punta Cana, La Altagracia 23000",airbnb,49911941,"Pool + Free Shuttle to Beach",1,Virgilio,,,,
2811919699884981587,"emy manual",,airgms,IBNSBX50KBG71ABA,"emy manual",1,,,,,
